INFO 2025-05-01 10:38:05,617 basehttp 187 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,621 basehttp 187 "GET /static/admin/simpleui-x/automatic/dicts.js HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,622 basehttp 187 "GET /static/admin/simpleui-x/automatic/segment.js HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,623 basehttp 187 "GET /static/admin/simpleui-x/js/axios.min.js HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,623 basehttp 187 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,624 basehttp 187 "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,669 basehttp 187 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
INFO 2025-05-01 10:38:05,669 basehttp 187 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
INFO 2025-05-01 10:38:06,395 basehttp 187 "GET /admin/index/canshusettings HTTP/1.1" 301 0
INFO 2025-05-01 10:38:06,410 basehttp 187 "GET /admin/index/canshusettings/ HTTP/1.1" 200 26807
INFO 2025-05-01 10:38:06,452 basehttp 187 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2025-05-01 10:38:07,673 basehttp 187 "GET /admin/index/user HTTP/1.1" 301 0
INFO 2025-05-01 10:38:07,692 basehttp 187 "GET /admin/index/user/ HTTP/1.1" 200 53423
INFO 2025-05-01 10:38:07,708 basehttp 187 "GET /media/avatar/7257241410_1a87dc5888_b.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,708 basehttp 187 "GET /media/avatar/t011408ea7ac25f372c_l2nJksn.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,708 basehttp 187 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2025-05-01 10:38:07,724 basehttp 187 "GET /media/avatar/deering.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,727 basehttp 187 "GET /media/avatar/Desktop-1920x1080-Campus.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,727 basehttp 187 "GET /media/avatar/Desktop-1920x1080-Deering.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,746 basehttp 187 "GET /media/avatar/Desktop-1920x1080-Sailing_rDvNoUL.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,746 basehttp 187 "GET /media/avatar/Desktop-1920x1080-Sailing.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,746 basehttp 187 "GET /media/avatar/mac2.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,746 basehttp 187 "GET /media/avatar/mac1.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,746 basehttp 187 "GET /media/avatar/Desktop-1920x1080-Lakeside.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,751 basehttp 187 "GET /media/avatar/mac3.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,754 basehttp 187 "GET /media/avatar/OHR.AtraniAmalfi_ZH-CN6391731688_UHD.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,761 basehttp 187 "GET /media/avatar/75e11ee1522d6da30a7ba3842751ba3.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,761 basehttp 187 "GET /media/avatar/OHR.QuebecFrontenac_ZH-CN9519096458_UHD.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,762 basehttp 187 "GET /media/avatar/OHR.GroundhogThree_ZH-CN6720558481_UHD.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,762 basehttp 187 "GET /media/avatar/OHR.SanGiovanni_ZH-CN3184593519_UHD.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,764 basehttp 187 "GET /media/avatar/wallparper2.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,765 basehttp 187 "GET /media/avatar/wallparper.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,769 basehttp 187 "GET /media/avatar/wallhaven-1pd1o9.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,769 basehttp 187 "GET /media/avatar/t011408ea7ac25f372c.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,769 basehttp 187 "GET /media/avatar/t016eeb47f29fa12fa0.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:07,783 basehttp 187 "GET /media/avatar/20250427090051.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:08,190 basehttp 187 "GET /admin/index/tuwen HTTP/1.1" 301 0
INFO 2025-05-01 10:38:08,210 basehttp 187 "GET /admin/index/tuwen/ HTTP/1.1" 200 38753
INFO 2025-05-01 10:38:08,210 basehttp 187 "GET /media/tuwen/deering.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:08,228 basehttp 187 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2025-05-01 10:38:08,236 basehttp 187 "GET /media/tuwen/%E5%B1%8F%E5%B9%95%E6%88%AA%E5%9B%BE_2025-04-25_215741.png HTTP/1.1" 304 0
INFO 2025-05-01 10:38:08,241 basehttp 187 "GET /media/tuwen/%E5%B1%8F%E5%B9%95%E6%88%AA%E5%9B%BE_2025-04-25_215826.png HTTP/1.1" 304 0
INFO 2025-05-01 10:38:08,245 basehttp 187 "GET /media/tuwen/%E5%B1%8F%E5%B9%95%E6%88%AA%E5%9B%BE_2025-04-25_215637.png HTTP/1.1" 304 0
INFO 2025-05-01 10:38:08,245 basehttp 187 "GET /media/tuwen/%E5%B1%8F%E5%B9%95%E6%88%AA%E5%9B%BE_2025-04-27_202516.png HTTP/1.1" 304 0
INFO 2025-05-01 10:38:11,786 basehttp 187 "GET /admin/index/tuwentype HTTP/1.1" 301 0
INFO 2025-05-01 10:38:11,804 basehttp 187 "GET /admin/index/tuwentype/ HTTP/1.1" 200 27176
INFO 2025-05-01 10:38:11,820 basehttp 187 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2025-05-01 10:38:12,217 basehttp 187 "GET /admin/index/banner HTTP/1.1" 301 0
INFO 2025-05-01 10:38:12,237 basehttp 187 "GET /admin/index/banner/ HTTP/1.1" 200 27307
INFO 2025-05-01 10:38:12,237 basehttp 187 "GET /media/banner/banner3.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:12,252 basehttp 187 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2025-05-01 10:38:12,260 basehttp 187 "GET /media/banner/banner2.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:12,260 basehttp 187 "GET /media/banner/banner1.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:12,768 basehttp 187 "GET /admin/index/jifenlog HTTP/1.1" 301 0
INFO 2025-05-01 10:38:12,787 basehttp 187 "GET /admin/index/jifenlog/ HTTP/1.1" 200 32124
INFO 2025-05-01 10:38:12,805 basehttp 187 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2025-05-01 10:38:13,392 basehttp 187 "GET /admin/index/yichang HTTP/1.1" 301 0
INFO 2025-05-01 10:38:13,420 basehttp 187 "GET /admin/index/yichang/ HTTP/1.1" 200 43967
INFO 2025-05-01 10:38:13,437 basehttp 187 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2025-05-01 10:38:14,734 basehttp 187 "GET /admin/index/yichangtype HTTP/1.1" 301 0
INFO 2025-05-01 10:38:14,751 basehttp 187 "GET /admin/index/yichangtype/ HTTP/1.1" 200 28390
INFO 2025-05-01 10:38:14,765 basehttp 187 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2025-05-01 10:38:15,105 basehttp 187 "GET /admin/index/tousu HTTP/1.1" 301 0
INFO 2025-05-01 10:38:15,152 basehttp 187 "GET /admin/index/tousu/ HTTP/1.1" 200 41842
INFO 2025-05-01 10:38:15,159 basehttp 187 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2025-05-01 10:38:15,453 basehttp 187 "GET /admin/index/tousutype HTTP/1.1" 301 0
